C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
广东省二0一四年度人身损害赔偿计算标准 >>>>>>>>>>> 2
最高人民法院关于印发﹤关于审理抢劫刑事案件适用法律若干问题的指导意见﹥的通知 >>>>>>>>>>> 2
最高人民法院关于适用＜中华人民共和国侵权责任法＞若干问题的通知 >>>>>>>>>>> 2
刑事赔偿解释 >>>>>>>>>>> 2
山西省高级人民法院关于审理非法采矿犯罪案件适用法律的意见 >>>>>>>>>>> 2
最高人民法院关于处理立功与自首应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理利用信息网络诽谤等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
司法鉴定管理问题的决定 >>>>>>>>>>> 2
陕西省高级人民法院﹤关于审理刑事附带民事诉讼案件的指导意见﹥（试行） >>>>>>>>>>> 2
河北省实施中华人民共和国道路交通安全法办法 >>>>>>>>>>> 2
关于依法办理家庭暴力犯罪案件的意见 >>>>>>>>>>> 2
最高人民法院关于审理破坏森林刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
辽宁省涉案物品估价管理条例 >>>>>>>>>>> 2
最高人民法院关于审理道路交通事故赔偿案件适用法律问题的解释 >>>>>>>>>>> 2
中华人共和国保险法 >>>>>>>>>>> 2
价格成本监审报告 >>>>>>>>>>> 2
湖南省高级人民法院〈关于审理盗伐、滥伐林木与竹林案件定罪量刑数量标准的规定〉 >>>>>>>>>>> 2
A公司 >>>>>>>>>>> 2
办案说明 >>>>>>>>>>> 2
最高人人民法院最高人民检察院 >>>>>>>>>>> 2
两高意见 >>>>>>>>>>> 2
最高人民法院关于审理涉及机动车交通事故责任强制保险案件若干问题的意见 >>>>>>>>>>> 2
全国人民代表大会常务委员关于＜中华人民共和国刑法＞第九十三条第二款的解释 >>>>>>>>>>> 2
关于审理破坏易燃易爆设备刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理生产、销售伪劣产品商品刑事案件具体应用法律问题的解释 >>>>>>>>>>> 2
中华人民共和国村民委员会自治法 >>>>>>>>>>> 2
关于&lt；中华人民共和国刑法&gt；第九十三条第二款的解释 >>>>>>>>>>> 2
最高人民法院关于适用〈中华人民共和国刑事诉讼法 >>>>>>>>>>> 2
山西省人民检察院、山西省高级人民法院、山西省公安厅、山西省司法厅关于零包贩毒案件和毒品案件管辖处理意见的通知 >>>>>>>>>>> 2
关于开展非药品冒充药品整治行动的公告 >>>>>>>>>>> 2
中华人民共和国民法诉讼法 >>>>>>>>>>> 2
乡村医生从业管理条例 >>>>>>>>>>> 2
最高人某民法院＜关于审理人某身损害赔偿案件适用法律若干问题的解释＞ >>>>>>>>>>> 2
四川省〈中华人民共和国母婴保健法〉实施办法 >>>>>>>>>>> 2
中华人民共和国产品质量法 >>>>>>>>>>> 2
安全生产法 >>>>>>>>>>> 2
山东省国家重点防护林工程建设管理暂行办法 >>>>>>>>>>> 2
中国华人民共和国行政处罚法 >>>>>>>>>>> 2
关于审理环境污染刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民检察院公安部关于机关管辖的刑事案件立案追诉标准 >>>>>>>>>>> 2
全国人大常委会关于﹤中华人民共和国刑法﹥第二百九十四条第一款的解释 >>>>>>>>>>> 2
关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、贩卖淫秽电子信息刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
中国保险行业协会机动车综合商业保险示范条款 >>>>>>>>>>> 2
本院认为，被告人李某某为谋取不正当利益，给予国家工作人员以财物，其行为构成行贿罪。控方所指控的犯罪事实及罪名成立。被告人李某某行贿金额达50万元，属于情节严重。被告人李某某在被追诉前主动交代行贿行为，可以减轻或者免除处罚。依照中华人民共和国刑法 >>>>>>>>>>> 2
野生药材资源管理条例 >>>>>>>>>>> 2
国家发展和改革委员会价格认证中心〈关于印发涉烟案件物品价格鉴定操作规范〉的通知 >>>>>>>>>>> 2
关于办理酒醉驾驶机动车刑事案件适用法律若干问题的意见 >>>>>>>>>>> 2
本院认为，被告人侯某某无视国家法律，故意伤害他人身体，致一人轻伤，其行为已构成故意伤害罪。公诉机关指控被告人侯某某犯故意伤害罪的事实清楚，证据确实、充分，指控的罪名成立。被告人侯某某案发后主动到公安机关投案，并如实供述案发经过，系自首，依法从轻处罚，但其有前科劣迹，酌情从重处罚。被告人侯某某辩称系防卫过当，经查，被告人故意伤害他人身体，有证人证言，被害人陈述、司法医学鉴定等证据予以证明，被告人防卫过当的辩解与本案事实不符，本院不予支持。据此，依照，中华人民共和国刑法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理渎职罪职刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于人民法院审判严重刑事犯罪案件中具体应用法律若干问题的答复（三） >>>>>>>>>>> 2
国务院退耕还林条例 >>>>>>>>>>> 2
关于<中华人民共和国刑法>第三百一十三条的解释 >>>>>>>>>>> 2
全国人大常委会关于＜中华人民共和国刑法＞第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 2
最高人民法院<关于处理自首和理工具体应用法律若干问题的解释> >>>>>>>>>>> 2
民办教育促进法 >>>>>>>>>>> 2
关于审理人损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于适用＜中华人民共和国保险法＞若干问题解释（二） >>>>>>>>>>> 2
关于（中华人民共和国刑法）第九十三条第二款的解释 >>>>>>>>>>> 2
关于审理非法制造、买卖、运输枪支、弹药等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
精神药品管制品种目录 >>>>>>>>>>> 2
锦程交通意外伤害保险 >>>>>>>>>>> 2
全国人大常委会关于&lt；中华人民共和国刑法&gt；第九十三条第二款的解释 >>>>>>>>>>> 2
立法解释 >>>>>>>>>>> 2
关于中华人民共和国刑法修正案（九）时间效力问题的解释 >>>>>>>>>>> 2
﹤中华人民共和国刑法修正案（九）﹥时间效力问题的解释 >>>>>>>>>>> 2
全国人大常委会﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 2
关于〈刑法〉第九十三条第二款解释 >>>>>>>>>>> 2
中华人民共和国国家赔偿法 >>>>>>>>>>> 2
福建省农业基本建设项目管理规定 >>>>>>>>>>> 2
处理自首立功解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、人力资源和社会保障部、公安部关于加强涉嫌拒不支付劳动报酬犯罪案件查处衔接工作的通知 >>>>>>>>>>> 2
中华人民共合国枪支管理法 >>>>>>>>>>> 2
最高人民法院关于审理（交通事故刑事案件具体应用法律）若干问题的解释 >>>>>>>>>>> 2
关于检察工作中具体适用修订刑法第十二条若干问题的通知 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部关于办理醉洒驾驶机动车刑事案件适用法律若干问题的意见 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理渎职刑事案中适用法律若干问题的解释（一） >>>>>>>>>>> 2
关于办理渎职案件适用法律若干问题的解释（一） >>>>>>>>>>> 2
最高人民法院关于审理交通事故刑事案件具体应用法律若干问题解释 >>>>>>>>>>> 2
医疗机构管理条例实施细则 >>>>>>>>>>> 2
关于审理未成年人犯罪案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于处理自首和主动具体应用法律若干问题的解释 >>>>>>>>>>> 2
全国人大常委会关于刑法第二百九十四条第一款的解释 >>>>>>>>>>> 2
本院认为，被告人李某醉酒后驾驶三轮载货摩托车在道路上行驶并发生交通事故，其行为危害公共安全，构成危险驾驶罪。公诉机关指控罪名成立，本院予以确认。鉴于被告人李某当庭认罪，积极缴纳罚金，所发生的交通事故双方已和解解决，对被告人李某可从轻处罚，并宣告缓刑，但应到沂南县司法局接受社区矫正，在此期间应当遵守法律法规、服从司法行政机关的监督和管理，积极参加公益劳动，做一名有益于社会的公民。依照中华人民共和国刑法 >>>>>>>>>>> 2
关于<中华人民共和国刑法>第二百六十六条的解释 >>>>>>>>>>> 2
期货管理交易条例 >>>>>>>>>>> 2
最高人民法院、最高人民检察院〈关于办理生产、销售假药、劣药刑事案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 2
最高人民法院关于适用〈中华人民共和国刑法诉讼法〉的解释 >>>>>>>>>>> 2
最高人民法院<关于刑事裁判涉财产部分执行的若干规定> >>>>>>>>>>> 2
最高人民法院研究室关于申付强诈骗案如何认定诈骗数额问题的电话答复 >>>>>>>>>>> 2
司法鉴定文书规定 >>>>>>>>>>> 2
甘肃省道路交通安全条列 >>>>>>>>>>> 2
交通安全隐患整改通知 >>>>>>>>>>> 2
关于办理危害食品、药品安全犯罪案件适用法律若干问题的会议纪要 >>>>>>>>>>> 2
中华人民共和国渔业船舶检验条例 >>>>>>>>>>> 2
关于＜中华人民共和国刑法修正案（八）时间效力问题的解释＞ >>>>>>>>>>> 2
收入证明 >>>>>>>>>>> 2
中华人民共和国刑法修正案(九) >>>>>>>>>>> 2
江西省高级人民法院、江西省人民检察院﹤关于江西省办理诈骗刑事案件执行具体数额标准的规定﹥ >>>>>>>>>>> 2
最高人民法院<关于死刑缓期执行限制减刑案件审理程序若干问题的规定> >>>>>>>>>>> 2
最高人民法院、最高人民检察院&lt；关于办理刑事案件适用法律若干问题的解释&gt； >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理抢夺形式案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽物品电子信息刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
本院认为，被告人王某某醉酒后驾驶机动车上道路行驶，其行为已构成危险驾驶罪。秦皇岛市海港区人民检察院的指控成立。考虑案发后，被告人王某某能够积极与被害人达成和解、当庭自愿认罪等认罪、悔罪的具体情节，故对被告人王某某依据中华人民共和国刑法 >>>>>>>>>>> 2
中华人民共和国会计法 >>>>>>>>>>> 2
关于渎职侵权犯罪案件立案标准的规定 >>>>>>>>>>> 2
关于审理道路某某事故损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 2
云南省高级人民法院关于审理破坏森林资源刑事案件有关盗伐、滥伐林木”数量”标准的规定 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理妨害国（边）境刑事案件应用法律若干问题的解释 >>>>>>>>>>> 2
安徽省高级人民法院、安徽省人民检察院关于诈骗罪数额认定标准问题的规定 >>>>>>>>>>> 2
最高人民法院关于审理破环森林资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
国有土地上房屋征收评估办法 >>>>>>>>>>> 2
贵州省高级人民法院、贵州省人民检察院关于对我省诈骗罪数额认定标准的规定 >>>>>>>>>>> 2
关于办理妨害信用开管理形式案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
关于适用<中华人民共和国刑事事诉讼法>的解释 >>>>>>>>>>> 2
司法鉴定机构内部管理规范 >>>>>>>>>>> 2
关于依法处理进京实施妨害社会管理秩序行为的指导意见 >>>>>>>>>>> 2
中华人民共和国药品管理法 >>>>>>>>>>> 2
关于办理与盗窃、抢劫、诈骗机动车相关刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
中华人民共和国道路交通安全实施条例 >>>>>>>>>>> 2
关于适用罚金若干问题的规定 >>>>>>>>>>> 2
最高人民法院、最高人民检察院﹤关于办理与盗窃、诈骗、抢夺机动车相关刑事案件具体应用法律若干问题的解释﹥ >>>>>>>>>>> 2
中国人民财产保险股份有限公司机动车第三者责任保险条款 >>>>>>>>>>> 2
军人抚恤优待条例 >>>>>>>>>>> 2
关于利用“六合彩”进行违法犯罪活动的处理意见 >>>>>>>>>>> 2
关于办理妨害文物管理等刑事案件适用法律若干问题 >>>>>>>>>>> 2
最高人民法院关于适用 >>>>>>>>>>> 2
关于处理环境污染刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院最高人民检察院公安部关于办理酒醉驾驶机动车刑事案件适用法律若干问题的意见 >>>>>>>>>>> 2
最高人民法院、最高人民检察院〈关于办理赌博形式案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 2
中华人民共和国道路交通实施条例 >>>>>>>>>>> 2
关于惩治违反公司法的犯罪的决定 >>>>>>>>>>> 2
禁止非法生产销售使用窃听专用器材和”伪基站”设备的规定 >>>>>>>>>>> 2
全国人民代表大会常务委员会关于<中华人民共和国刑法>第三百八十四条第一款的解释 >>>>>>>>>>> 2
环境污染解释 >>>>>>>>>>> 2
关于＜中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 2
土地登记规则 >>>>>>>>>>> 2
最高人民法院关于审理抢劫、抢夺案件适用法律若干问题的意见 >>>>>>>>>>> 2
机动车辆第三者责任保险条款 >>>>>>>>>>> 2
关于执行﹤全国人大常委会关于严禁卖淫嫖娼的决定﹥的若干问题的解答 >>>>>>>>>>> 2
关于审理拒不支付劳动某刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于适用﹤中华人民共和国保险法﹥若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于破坏野生动物资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于<中华人民共和国刑法修正案（九）时间效力问题的解释> >>>>>>>>>>> 2
关于严惩拐卖、绑架妇女、儿童犯罪分子的决定 >>>>>>>>>>> 2
国务院食盐加碘消除碘缺乏危害管理条例 >>>>>>>>>>> 2
最高人民法院关于以法院专递方式邮寄送达民事诉讼文书的若干规定 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理盗窃刑事件适用法律若干问题的解释 >>>>>>>>>>> 2
中华人民共和国刊法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部、国家安全监管总局<关于依法加强对涉嫌犯罪的非法生产经营烟花爆竹行为刑事责任追究的通知> >>>>>>>>>>> 2
危险化学品安全管理条例 >>>>>>>>>>> 2
中华人民共和国道路交通事故安全法实施条例 >>>>>>>>>>> 2
烟草专卖解释 >>>>>>>>>>> 2
中华人民共和某丁法通则 >>>>>>>>>>> 2
中华人民共和国刑法（修正案八 >>>>>>>>>>> 2
关于＜中华人民共和国刑法修正案（八）＞时间效力问题的解释 >>>>>>>>>>> 2
关于审理非法制造、买卖、运输枪支、弹药、爆炸等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理与盗窃、抢夺的机动车相关刑事案件具体应用若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理诈骗罪刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院〈关于办理贿赂刑事案件适用法律若干问题的解释〉 >>>>>>>>>>> 2
严重超员、严重超速危险驾驶刑事案件立案标准（试行） >>>>>>>>>>> 2
广西壮族自治区高级人民法院广西壮族自治区人民检察院广西壮族自治区公安厅关于转发〈最高人民法院最高人民检察院公安部关于盗窃罪数额认定标准问题的决定〉的通知 >>>>>>>>>>> 2
最高人民法院关于适用<中华人民共和国>的解释 >>>>>>>>>>> 2
辽宁省涉案物品估价操作方法（试行） >>>>>>>>>>> 2
征管法 >>>>>>>>>>> 2
成品没管理办法 >>>>>>>>>>> 2
最高人民法院关于审理破森林资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于处理立功和自首若干问题的解释 >>>>>>>>>>> 2
中华人民共和国车辆驾驶人员血液、呼气酒精含量与检测标准 >>>>>>>>>>> 2
广西壮族自治区人民法院、广西壮族自治区人民检察院关于办理诈骗刑事案件执行具体数额标准的通知 >>>>>>>>>>> 2
国家国有资产管理局国有资产产权界定和产权纠纷处理暂行办法 >>>>>>>>>>> 2
关于办理走私、非法买卖麻黄碱复方制剂等刑事案件适用法律若干问题的意见 >>>>>>>>>>> 2
最高人民法院最高人民检察院公安部司法部关于依法惩治性侵害未成年人犯罪的意见 >>>>>>>>>>> 2
关于审理道路交通事故损失赔偿案件若干问题的指导意见 >>>>>>>>>>> 2
公安机关执法办案场所办案区使用管理规定 >>>>>>>>>>> 2
广西壮族自治区高级人民法院、广西壮族自治区人民检察院、广西壮族自治区公安厅〈关于确定盗伐林木罪、滥伐林木罪具体数量标准的通知〉 >>>>>>>>>>> 2
全国人大常委会关于刑法第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院〈关于办理妨害行用卡管理刑事案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 2
中华人民共和国水污染防治法 >>>>>>>>>>> 2
最高人民法院关于为索取法律不予保护的债务非法拘禁他人行为如何定罪问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部﹤关于办理走私、非法买卖麻黄碱类复方制剂等刑事案件适用法律若干问题的意见﹥的通知 >>>>>>>>>>> 2
贵州省道路交通安全条例 >>>>>>>>>>> 2
食品中可能滥用的食品添加剂品种名单 >>>>>>>>>>> 2
解释（二） >>>>>>>>>>> 2
鉴证报告 >>>>>>>>>>> 2
成都市市级行政事业单位差旅费管理办法 >>>>>>>>>>> 2
最高人民法院关于情节严重的传销或者变相传销行为如何定性问题的批复 >>>>>>>>>>> 2
对部分刀具实行管制的暂行规定 >>>>>>>>>>> 2
立法法 >>>>>>>>>>> 2
全国人大常委会关于&lt；；刑法&gt；；第九十三条第二款的解释 >>>>>>>>>>> 2
最高人民法院关于审理侵犯知识产权案件定罪量刑标准有关问题的解释 >>>>>>>>>>> 2
关于办理录用赌博机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 2
关于审理侵犯知识应权刑事案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 2
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第三十条的解释 >>>>>>>>>>> 2
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥ >>>>>>>>>>> 2
最高人民法院、最高人民检察院〈关于办理盗窃刑事案件适用法律若干问题的解释〉第三条第四款、第十四条 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于审理盗窃案刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
价格认证管理办法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部、国家安全部、司法部〈关于办理刑事案件排除非法证据若干问题的规定〉 >>>>>>>>>>> 2
河北省涉案资产价格鉴证管理条例 >>>>>>>>>>> 2
关于审理破坏电信公用电信设施案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
关于审理破环森林资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
国务院信访条例 >>>>>>>>>>> 2
关于&lt；中华人民共和国刑法修正案（八）&gt；时间效力问题的解释 >>>>>>>>>>> 2
关于取保候审若干问题的规定 >>>>>>>>>>> 2
最高人民法院关于保险法司法解释（二） >>>>>>>>>>> 2
关于实施刑事诉讼法若干问题的规定 >>>>>>>>>>> 2
房屋建筑和市政基础设施工程施工安全监督管理规定 >>>>>>>>>>> 2
最高人民法院关于审理发生在我国管辖海域相关案件若干问题的规定（二） >>>>>>>>>>> 2
关于适用（中华人民共和国保险法）若干问题的解释（二） >>>>>>>>>>> 2
最高人民法院关于审理道路损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 2
藏传佛教活佛转世管理办法 >>>>>>>>>>> 2
最高人民法院法院适用〈中华人民共和国保险法〉若干问题的解释（二） >>>>>>>>>>> 2
中华人民共和道路交通安全法实施条例 >>>>>>>>>>> 2
最高人民法院关于审理民间借贷案件适用法律若干问题的规定 >>>>>>>>>>> 2
关于惩治贪污罪贿赂罪的补充规定 >>>>>>>>>>> 2
中华人民共和国内河避碰规则 >>>>>>>>>>> 2
最高人民法院关于在执行附加刑剥夺政治权利期间犯新罪如何处理的批复 >>>>>>>>>>> 2
关于刑法第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 2
关于办理走私刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
司法解释（一） >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理行贿案件适用法律若干问题的意见 >>>>>>>>>>> 2
全国人大常务委员会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 2
全国人民代表大会常务委员会﹤关于中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 2
最高人民法院最高人民检察院关于办理污染环境刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖淫秽电子信息刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
关于温州市瓯海大道工业企业拆迁安置的补充规定 >>>>>>>>>>> 2
江苏省固体废物污染环境防治条例 >>>>>>>>>>> 2
宁夏回族自治区道路交通运输安全条例 >>>>>>>>>>> 2
关于敦促在逃境外经济犯罪人员投案自首的通告 >>>>>>>>>>> 2
2015年内蒙古道路交通事故损害赔偿标准 >>>>>>>>>>> 2
西藏自治区高级人民法院西藏自治区人民检察院关于我区盗窃罪具体数额执行标准的通知 >>>>>>>>>>> 2
广东省2013年度人身损害赔偿计算标准 >>>>>>>>>>> 2
公用电信网间通信质量监督管理办法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于适用〈中华人民共和国公司法〉若干问题的规定（三） >>>>>>>>>>> 2
中华人民共和国邮政法 >>>>>>>>>>> 2
关于中华人民共和国刑法第三百一十三条的解释 >>>>>>>>>>> 2
关于如何理解刑法第二百七十二条规定的“挪用本单位资金归个人使用或者借贷给他人”问题的批复 >>>>>>>>>>> 2
本院认为，被告人李某某故意非法损害他人身体健康，致一人轻伤二级，其行为已构成故意伤害罪，公诉机关指控罪名成立。本案系家庭内部予盾引发的纠纷，案发后，被告人李某某积极赔偿被害人的经济损失，得到了被害人的谅解，当庭自愿认罪，认罪态度较好，依法可以从轻处罚。根据双滦区社区矫正管理局对李某某作出的符合社区矫正条件并同意对其实行社区矫正的调查评估报告，依照中华人民共和国刑法 >>>>>>>>>>> 2
最高人民法院关于处理和具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于处理 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理盗窃办事案件适用法律若干问题的解释 >>>>>>>>>>> 2
长春市双阳区人民政府关于退耕还林工程的实施意见 >>>>>>>>>>> 2
最高人民法院﹤关于公布失信被执行人名单信息的若干规定﹥ >>>>>>>>>>> 2
中华人民共和国民事诉讼 >>>>>>>>>>> 2
全国人民代表大会常务委员会关于惩治贪污罪、贿赂罪的补充规定 >>>>>>>>>>> 2
最高人民法院最高人民检察院公安部 >>>>>>>>>>> 2
福建省财政厅关于截至2011年10月全省家电下乡销售产品补贴兑付情况的通报 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、司法部关于使用普通程序审理“被告人认罪”案件的若干意见 >>>>>>>>>>> 2
最高人民法院关于审理土地资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于适用﹤中华人民共和国刑事张某甲法﹥的解释 >>>>>>>>>>> 2
机动车综合商业保险条款 >>>>>>>>>>> 2
中华人民共和国票据法 >>>>>>>>>>> 2
中华人民共和国城市居民委员会组织法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理危害安全生产刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
律师办理刑事案件规范 >>>>>>>>>>> 2
全国人大常委会关于惩治违反公司法的犯罪的决定 >>>>>>>>>>> 2
关于办理敲诈勒索罪刑事案件适用法律若干问题的解释 >>>>>>>>>>> 2
通则 >>>>>>>>>>> 2
银行卡业务管理办法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部关于办理网站赌博犯罪案件适用法律若干问题的意见 >>>>>>>>>>> 2
广西壮族自治区高级人民法院广西壮族自治区人民检察院关于办理盗窃刑事案件执行具体数额标准的通知 >>>>>>>>>>> 2
本院认为：被告人赵某某在非机动车交易场所出售他人被盗车辆，其行为已构成掩饰、隐瞒犯罪所得罪，公诉机关指控其犯罪事实清楚，证据确实充分，罪名成立，应予支持。被告人赵某某犯罪以后自动到公安机关投案，如实供述自己的罪行，是自首，可以从轻处罚。依照中华人民共和国刑法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理抢夺案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
城镇国有土地使用权出让和转让暂行条例 >>>>>>>>>>> 2
最高人民法院关于适用<中华人民共和国婚姻法>若干问题解释（一） >>>>>>>>>>> 2
机动车 >>>>>>>>>>> 2
最高人民法院〈关于审理毒品犯罪量刑标准有关问题的解释〉 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、司法部关于适用简易程序审理“被告人认罪”案件的若干意见 >>>>>>>>>>> 2
最高人民法院关于审理案件适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院、最高人民检察院、公安部、司法部关于印发社区矫正实施办法的通知 >>>>>>>>>>> 2
最高人民法院﹤审理非法制造枪支等刑事案件应用法律﹥的解释 >>>>>>>>>>> 2
黑龙江省道路交通安全条例 >>>>>>>>>>> 2
最高人民法院、最高人民检察院﹤关于办理生产、销售伪劣产品刑事案件具体应用法律若干问题的解﹥ >>>>>>>>>>> 2
最××释 >>>>>>>>>>> 2
最高人民检察院、公安部关于印发最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定三的通知 >>>>>>>>>>> 2
关于四川省盗窃罪具体数额执行标准的通知 >>>>>>>>>>> 2
最高人民法院关于审理道路交通损害赔偿适用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于人民法院是否受理刑事案件被害人提起精神损失赔偿民事诉讼问题的批复 >>>>>>>>>>> 2
第九届全国人民代表大会常务委员会第二十九次会议通过的关于中华人民共和国刑法第三百一十三条的解释 >>>>>>>>>>> 2
关于处理自首和主动具体应用法律若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于如何理解刑法第二百七十二条规定的“挪用本单位资金归个人使用或者借贷给他人”问题的批复 >>>>>>>>>>> 2
本院认为，被告人马某某与他人共同故意伤害他人身体，并造成重伤的后果，构成故意伤害罪。鉴于被告人马庆超在共同犯罪中，被害人的重伤后果不是其直接造成，可酌定从轻处罚。但其有前科，酌定从重处罚。根据被告人马庆超认罪、悔罪的态度，综合本案的事实，情节及社会危害程度，依据<中华人民共和国刑法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体法律若干问题的解释 >>>>>>>>>>> 2
中公款人民共和国保险法 >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽物品电子信息刑事案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 2
本院认为，被告人吴华顺以非法占有为目的，采取秘密手段窃取多次中国×通信集团有限公司×公司基站设备、四川省有限广播股份有限公司兴文分公司网站设备、四川能投×电力公司电表，其行为构成盗窃罪。公诉机关指控被告人吴华顺的罪名成立。被告人吴华顺盗窃数额经兴文县价格认证中心鉴定为301622元，属数额巨大，依法应处三年以上十年以下有期徒刑，并处罚金。被告人吴华顺盗窃公用设备设施，可酌情从重处罚；在归案后，被告人吴华顺能如实供述罪行，可从轻处罚。据此，依照巜中华人民共和国刑法 >>>>>>>>>>> 2
最高人民法院关于适用若干问题的解释 >>>>>>>>>>> 2
最高人民法院关于适用<中华人民共和国侵权责任法>若干问题的通知 >>>>>>>>>>> 2
关&times;&times;） >>>>>>>>>>> 2
最高人民法院、最高人民检察院关于办理侵权知识产权刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
关于审理为造货币等案件具体应用法律若干问题的解释 >>>>>>>>>>> 2
关于﹤中华人民共和国刑法﹥第三十条的解释 >>>>>>>>>>> 2
刑法修正案九 >>>>>>>>>>> 2
适用中华人民共和国刑事诉讼法 >>>>>>>>>>> 2
